"","Designation"
"221","33 Degrees North BDX Gracie Hill Vineyard"
"222","33 Degrees North Gracie Hill Vineyard"
"223","33 Degrees North Gracie Hill Vineyard BDX"
"224","33 Degrees North Gracie Hill Vineyard Dalla Collina"
"225","3400 Premium"
"226","347 Vineyards"
"227","347 Vineyards Reserva"
"228","35 South Land of Passion and Fantasy"
"229","35 South Reserva"
"230","35th Anniversary"
"231","35th Anniversary Reserve Mailbox Vineyard"
"232","365 Prosecco"
"233","36m Metodo Classico"
"234","37.2 Cuvee"
"235","375ml"
"236","39 Barricas"
"237","3B Brut Nature Rose"
"238","3D Sparkling"
"239","3rd Degree Late Harvest Sweet"
"240","3rd Degree Sweet"
"241","3rd Generation"
"242","4 2 A"
"243","4 Boys Les Collines Vineyard"
"244","4 Cepages"
"245","4 Dijon Clones"
"246","4 Elements"
"247","4 Grape Blend"
"248","4 Quatro Castas"
"249","4 Reserva"
"250","4 Vigne"
"251","40 Year Old White"
"252","40 Years"
"253","40 years Old Tawny"
"254","40 Years Old Tawny"
"255","40 Years Old White"
"256","40th Anniversary"
"257","40th Anniversary Estate Grown"
"258","42 NORTH Estate Bottled"
"259","424 Red Blend"
"260","446 Single Vineyard"
"261","45 Degrees"
"262","45th Anniversary"
"263","45th Anniversary Reserve"
"264","46 Parallelo Extra Dry"
"265","47.5 Degree"
"266","47.5 Degree Limited Release Syrah"
"267","490 Metres"
"268","4990 Reserve"
"269","4or Extra Dry"
"270","5 Block"
"271","5 Blocks"
"272","5 Blocks Wren and Temperance Hill"
"273","5 Elemente"
"274","5 Finca Reserva"
"275","5 Finques Reserva"
"276","5 Grammi Brut"
"277","5 Puttonyos Aszu"
"278","5 Puttonyos Aszu Red Label"
"279","5 Stelle"
"280","5 Stelle Sfursat"
"281","5 Vinas"
"282","50 & 50"
"283","50 50"
"284","50 Aniversario Virgen Blanca"
"285","50 CH 50 SEM"
"286","50 Mon Chou"
"287","50 Vendemmia Riserva"
"288","50 Year Old Vines"
"289","50 Years of Adventures"
"290","500 ml"
"291","500ml"
"292","505 Esencia"
"293","50th Anniversary Riserva"
"294","50th Harvest Riserva"
"295","50th Vintage Riserva"
"296","51 151 Brut"
"297","515 Vine Select"
"298","55 Slope"
"299","55 Slope Impassable Mountain Reserve"
"300","55 Syrah 45 Merlot Dry"
"301","56 Oregon 44 Washington"
"302","56 Washington 44 Oregon"
"303","6 Meses"
"304","6 Meses Barrica"
"305","6 Meses en Barrica"
"306","6 Prong Vineyard"
"307","6 Puttonyos Aszu Gold Label"
"308","6 Senso Dry"
"309","6 Vinyes de Laurona"
"310","60 40 Barrel Select"
"311","60 40 Reserve Barrel Select"
"312","61 Semillon 21 Sauvignon 18 Muscadelle"
"313","62 Semillon 21 Sauvignon 17 Muscadelle"
"314","62 Semillon 22 Sauvignon Blanc 16 Muscadelle"
"315","642 Il Canapone"
"316","6eme Generation"
"317","6N Karasakiz Merlot"
"318","6th Sense"
"319","7 Deadly"
"320","7 Fuentes"
"321","7 Hectares Vin Bio"
"322","7 Percent"
"323","7 Varietales"
"324","7 Vinas Reserva"
"325","700 High Altitude"
"326","7200 Grassini Family Vineyard"
"327","7200 Grassini Vineyard"
"328","7200 Range 30 West"
"329","7200 Vogelzang Vineyard"
"330","7200 Vogelzang VIneyard"
"331","73 Washington 27 Oregon"
"332","750 ml"
"333","750ml"
"334","76 West"
"335","777 Clones"
"336","7eme Generation"
"337","7th Son"
"338","8 by Chateau les Valentines"
"339","8 Clones Red Willow Vineyard"
"340","8 Generation"
"341","8 Meses"
"342","8 mo in 70 Fr and 30 US oak"
"343","8 Songs"
"344","80 Year Old Vines"
"345","800 Vines Jenna's Vineyard Rose of"
"346","800 Vines Vineyard Rose of"
"347","8000 Reserve"
"348","809 Clone"
"349","86 Winegrowers"
"350","877 Noir"
"351","9 3 5"
"352","9 Barricas"
"353","90 year Old Tawny"
"354","90 Years White Label"
"355","92067"
"356","946 Selection Parcellaire"
"357","95 Merlot 5 CS"
"358","96 Cedars"
"359","96 Cedars White Wine Artz Vineyard"
"360","999 Brut Nature Rose"
"361","999 Brut Rosat"
"362","A' Puddara Bianco"
"363","A' Scippata Riserva Costa d'Amalfi"
"364","A'Luciano"
"365","a'pic Red Wine Stonetree Vineyard"
"366","A Cote"
"367","A Cuvee"
"368","A Day's Work Estate Grown"
"369","A Day's Work Estate Grown Thomas Cyle Mathison"
"370","A Dry Sauvignon Blanc"
"371","A Jo Elet"
"372","A Ken Forrester Wine"
"373","A Ken Forrester Wine Farrow Ranch"
"374","A la Cote"
"375","A la Percenette"
"376","A la Reine"
"377","A Lisa"
"378","A Luciano"
"379","A Mean"
"380","A Midsummer Night's"
"381","A Midsummer Night's White"
"382","A Modern"
"383","A Noble Blend White"
"384","A Portela"
"385","A Proper"
"386","A Proper Claret"
"387","A Red Wine"
"388","A Rina"
"389","A Rina Rosso"
"390","A Rose Is A Rose Is A Rose"
"391","A Sirio"
"392","A Solo"
"393","A Squared"
"394","A Squared Destiny Ridge Vineyard"
"395","A Sticky End Late Harvest Waihopai"
"396","A Stone's Throw"
"397","A Thousand Words"
"398","A Vampa"
"399","A&D Vineyard Dry"
"400","A&D Vineyard Wild Ferment"
"401","A&G Estate Vineyard"
"402","A. Henriques Tinto"
"403","A. Rodet"
"404","A.K.A."
"405","A10 Nuestra Perfeccion"
"406","A2O Sobre Lias"
"407","A360P Muenchberg Grand Cru"
"408","A4 Nuestro Equilibrio"
"409","A8 Parcela Unica"
"410","Aamackhnoc"
"411","Aatto"
"412","Ab Ericio"
"413","Ab Ovo"
"414","AB OVO"
"415","Ab Vinea Doni"
"416","Abadal"
"417","Abadal Blanc"
"418","Abadal Crianza"
"419","Abadal Reserva"
"420","Abadal Seleccio"
"421","Abadia de Gomariz"
"422","Abadia de San Campio"
"423","Abadia de San Quirce"
"424","Abadia de San Quirce Reserva"
"425","Abafado 5 years"
"426","Abandonado"
"427","Abanico Reserva"
"428","Abat Domenech"
"429","Abba Vineyard"
"430","Abbassi Vineyard"
"431","Abbaye de Marmoutier Clos du Rougemont"
"432","Abbaye de Morgeot Premier Cru"
"433","Abbaye Saint Hilaire"
"434","Abbaye Sainte Hilaire Tentation"
"435","Abbazia di Rosazzo"
"436","Abbey Ridge"
"437","Abbey Ridge Vineyard"
"438","Abbinare"
"439","Abboccato"
"440","Abbot's Table"
"441","Abbott Claim"
"442","Abbott Claim Vineyard"
"443","Abbotts Prayer Vineyard"
"444","Abby's Block Reserve"
"445","Abelard"
"446","Abellio"
"447","Abercrombie"
"448","Aberration"
"449","Abetina"
"450","Abetina 2"
"451","Abetina Vineyard"
"452","Abondante"
"453","Abracadabra"
"454","Abracadabra Red"
"455","Abras"
"456","Abreu Callado Reserva"
"457","Abroachment"
"458","Absidis Brut Rose"
"459","Abstberg Auslese Nr. 84"
"460","Abstberg Auslese Nr. 87"
"461","Abstberg Kabinett"
"462","Abstberg Spatlese"
"463","Abstberg Superior"
"464","Abtei Muri Riserva"
"465","Abtsberg Alte Reben Trocken"
"466","Abtsberg Auslese"
"467","Abtsberg Auslese 24 Grosse Lage"
"468","Abtsberg Auslese 37"
"469","Abtsberg Auslese 72"
"470","Abtsberg Auslese Grosse Lage"
"471","Abtsberg Beerenauslese Grosse Lage"
"472","Abtsberg Grosse Lage GG"
"473","Abtsberg Kabinett"
"474","Abtsberg Spatlese"
"475","Abtsberg Spatlese Grosse Lage"
"476","Abtsberg Superior"
"477","Abtsberg Superior Grosse Lage"
"478","Abymes Cuvee Gastronomie"
"479","Acadia Vineyards"
"480","Acadia Vineyards White Space Blend"
"481","Acantos"
"482","Accademia del Sole"
"483","Acceleration"
"484","Accerto"
"485","acciaio"
"486","Acciaiolo"
"487","Acciderba"
"488","Acclivi"
"489","Ace High"
"490","Acero Don Miguel Vineyard"
"491","Acero Don Miguel Vineyard Unoaked"
"492","Achelo"
"493","Achenio"
"494","Achleiten Smaragd"
"495","Acinatico"
"496","Acinatico 500ml"
"497","Acinatium"
"498","Acini Ameni"
"499","Aconcagua Costa Single Vineyard"
"500","Aconcagua Costa Wild Ferment"
"501","Acorn Hill Alegria Vineyards"
"502","Acquadoro"
"503","Acquagiusta"
"504","Acquaintance Vineyard"
"505","Acquavigna"
"506","Acquilae"
"507","Acquisition"
"508","Across The Pond"
"509","Acte 12 of 1619"
"510","Acte 12 of Sixteen Nineteen"
"511","Aculei"
"512","aCure eState Vineyard"
"513","aCURE eSTATE Vineyard"
"514","Acusp"
"515","Ad Agio Riserva"
"516","Ad Altiora"
"517","Ad Astra"
"518","Ad Honorem"
"519","Ad Lib Mix Master"
"520","Ad Libitum"
"521","Ada Andrighetti Gran Selezione"
"522","Adagio"
"523","AdAlberto Riserva"
"524","Adalfo's Block"
"525","Adam & Eve"
"526","Adam and Eve Vineyard"
"527","Adama"
"528","Adamado"
"529","Adamus"
"530","Adarmando"
"531","Adaro de Prado Rey"
"532","Adastra Vineyard"
"533","Adega de Borba Branco"
"534","Adega de Pegoes"
"535","Adega de Pegoes Colheita Seleccionada"
"536","Adegaborba.pt"
"537","Adegaborba.pt Reserva"
"538","Adelaide's"
"539","Adelaide Vintage"
"540","Adenzia"
"541","Adi 13"
"542","Adieu Late Harvest"
"543","Adirondack Breeze"
"544","Adivino Tinto Joven"
"545","ADM Crianza"
"546","Admon Vineyard"
"547","ADN Montgueux"
"548","Adobe"
"549","Adobe Pink"
"550","Adobe Red"
"551","Adoli Ghis"
"552","Adolsen Vineyard"
"553","Adornes"
"554","Adria"
"555","Adrian"
"556","Adrian's Reserve"
"557","Adriane"
"558","Adrianna"
"559","Adrianna Vineyard"
"560","Adriano Reserva White"
"561","Adriano White Reserva"
"562","Adriatico"
"563","Adriatico Ribolla"
"564","Adrien's Blend"
"565","Adro da Se Reserva"
"566","Aduentus Classic"
"567","Aduentus Mediterraneo"
"568","Adumim Dry"
"569","Aegades"
"570","Aegrina Vineyard"
"571","Ael y Bryn"
"572","Aeolia"
"573","Aeolian"
"574","Aeolus Estate"
"575","Aerial Series Block 18 Weinbau Vineyard"
"576","Aerial Series Block 19 Weinbau Vineyard"
"577","Aerial Series Block D"
"578","Aerial Series D11 Dionysus Vineyard"
"579","Aero Bos"
"580","Aeroplanservaj"
"581","Aestatis"
"582","Aetneus"
"583","Affenberg"
"584","Affinato in Carati"
"585","Affine Split Rock Vineyard"
"586","Affinity"
"587","Afincado Las Compuertas Vineyard"
"588","Afleet"
"589","African Tradition Collection Elephant"
"590","African Tradition Collection Leopard"
"591","African Tradition Collection Lion"
"592","After Dinner"
"593","After the Floods"
"594","Afterglow Dessert"
"595","Afterglow Estate Dessert"
"596","Afternoon Delight Estate"
"597","AfterThought"
"598","Against the Wind Reserve"
"599","Agamennone"
"600","Agamium"
"601","Agapane Brut"
"602","Aghiloro"
"603","Agiorghitiko Cabernet Sauvignon"
"604","Agiorgitiko by Gaia"
"605","Agiorgitiko St. George"
"606","Agiorgitiko St. George Rose"
"607","Agioritikos Regional Dry White Wine"
"608","Agios Onoufrios"
"609","Agira Vineyard"
"610","Aglaea Rosso"
"611","Aglianico dal Re"
