"left","bottom","right","top","confidence","cluster","table","row","file_id","file_number","entry_id","name_id","col.header","price_center_x_orig","price_center_y_orig","text.true","truth_entered_by","price_raw","type_raw","price_new","type_new","flag_year","flag_amount","flag_size","flag_digit","flag_order","flag_type_new","sum_flag"
3497,1703,3669,1744,76.6082534790039,2,2,5,"UCD_Lehmann_0008","0008","0008_2_24","0008_2_5","Case",3567.21618438964,1704.17027299604,"37.75","David","37.75","TRUE","37.75","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3497,1875,3669,1917,58.2226943969727,2,2,6,"UCD_Lehmann_0008","0008","0008_2_25","0008_2_6","Case",3569.33302474393,1876.65728406329,"37.75","David","37.75","TRUE","37.75","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3497,2164,3671,2206,72.5397186279297,2,2,7,"UCD_Lehmann_0008","0008","0008_2_26","0008_2_7","Case",3573.87942401034,2165.62325135652,"--","David","43.50","TRUE","43.50","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3498,2336,3672,2377,74.7134628295898,2,2,8,"UCD_Lehmann_0008","0008","0008_2_27","0008_2_8","Case",3576.98391752818,2337.09806618364,"43.50","David","41.78","TRUE","41.78","TRUE",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1
3498,2452,3672,2494,95.7348403930664,2,2,9,"UCD_Lehmann_0008","0008","0008_2_28","0008_2_9","Case",3578.41355173847,2453.5892939479,"41.75","David","49.75","TRUE","49.75","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3499,2625,3672,2667,90.0933532714844,2,2,10,"UCD_Lehmann_0008","0008","0008_2_29","0008_2_10","Case",3581.03649021282,2626.57013159693,"49.75","David","61.50","TRUE","61.50","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3500,2741,3673,2784,96.6520843505859,2,2,11,"UCD_Lehmann_0008","0008","0008_2_30","0008_2_11","Case",3583.46604912494,2743.04908782291,"61.50","David","84.50","TRUE","84.50","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3501,2858,3675,2900,96.6016311645508,2,2,12,"UCD_Lehmann_0008","0008","0008_2_31","0008_2_12","Case",3586.39557038799,2859.52190827974,"84.50","David","88.50","TRUE","88.50","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3500,3031,3673,3073,96.2487640380859,2,2,13,"UCD_Lehmann_0008","0008","0008_2_32","0008_2_13","Case",3587.01865945866,3032.52728900534,"88.50","David","84.50","TRUE","84.50","TRUE",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1
3501,3203,3674,3245,94.6015396118164,2,2,14,"UCD_Lehmann_0008","0008","0008_2_33","0008_2_14","Case",3590.12928874564,3204.50206618339,"84.50","David","79.80","TRUE","79.80","TRUE",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1
3501,3430,3675,3472,96.267463684082,2,2,15,"UCD_Lehmann_0008","0008","0008_2_34","0008_2_15","Case",3593.41489028742,3431.47883773173,"79.50","David","79.50","TRUE","79.50","TRUE",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1
3501,3602,3675,3644,96.5149383544922,2,2,16,"UCD_Lehmann_0008","0008","0008_2_35","0008_2_16","Case",3595.52559487257,3603.46588644806,"79.50","David","84.50","TRUE","84.50","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
3467,3774,3676,3816,88.2002563476562,2,2,17,"UCD_Lehmann_0008","0008","0008_2_36","0008_2_17","Case",3581.13754187736,3775.65541554611,"84.50","David","106.00","TRUE","106.00","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
