"","Variety"
"263","Macabeo Chardonnay"
"264","Macabeo Moscatel"
"265","Madeira Blend"
"266","Madeleine Angevine"
"267","Magliocco"
"268","Malagousia"
"269","Malagouzia"
"270","Malagouzia Chardonnay"
"271","Malbec"
"272","Malbec Blend"
"273","Malbec Bonarda"
"274","Malbec Cabernet"
"275","Malbec Cabernet Franc"
"276","Malbec Cabernet Sauvignon"
"277","Malbec Carmenere"
"278","Malbec Merlot"
"279","Malbec Petit Verdot"
"280","Malbec Syrah"
"281","Malbec Tannat"
"282","Malbec Tempranillo"
"283","Malvar"
"284","Malvasia"
"285","Malvasia Bianca"
"286","Malvasia di Candia"
"287","Malvasia Fina"
"288","Malvasia Istriana"
"289","Malvasia Nera"
"290","Malvasia Viura"
"291","Mandilaria"
"292","Mansois"
"293","Mantonico"
"294","Marawi"
"295","Maria Gomes"
"296","Maria Gomes Bical"
"297","Marquette"
"298","Marsanne"
"299","Marsanne Roussanne"
"300","Marsanne Viognier"
"301","Marselan"
"302","Marzemino"
"303","Mataro"
"304","Maturana"
"305","Mauzac"
"306","Mavrodaphne"
"307","Mavrokalavryta"
"308","Mavrotragano"
"309","Mavroudi"
"310","Mavrud"
"311","Mazuelo"
"312","Melnik"
"313","Melon"
"314","Mencia"
"315","Meritage"
"316","Merlot"
"317","Merlot Argaman"
"318","Merlot Cabernet"
"319","Merlot Cabernet Franc"
"320","Merlot Cabernet Sauvignon"
"321","Merlot Grenache"
"322","Merlot Malbec"
"323","Merlot Petite Verdot"
"324","Merlot Shiraz"
"325","Merlot Syrah"
"326","Merlot Tannat"
"327","Merseguera Sauvignon Blanc"
"328","Meseguera"
"329","Misket"
"330","Mission"
"331","Molinara"
"332","Monastrell"
"333","Monastrell Petit Verdot"
"334","Monastrell Syrah"
"335","Mondeuse"
"336","Monica"
"337","Montepulciano"
"338","Morava"
"339","Morillon"
"340","Morio Muskat"
"341","Moscadello"
"342","Moscatel"
"343","Moscatel de Alejandria"
"344","Moscatel Graudo"
"345","Moscatel Roxo"
"346","Moscato"
"347","Moscato Giallo"
"348","Moscato Rosa"
"349","Moschofilero"
"350","Moschofilero Chardonnay"
"351","Mourvedre"
"352","Mourvedre Syrah"
"353","Mtsvane"
"354","Muller Thurgau"
"355","Muscadel"
"356","Muscadelle"
"357","Muscadine"
"358","Muscat"
"359","Muscat Blanc"
"360","Muscat Blanc a Petits Grains"
"361","Muscat Canelli"
"362","Muscat d'Alexandrie"
"363","Muscat Hamburg"
"364","Muscat of Alexandria"
"365","Muscatel"
"366","Muskat"
"367","Muskat Ottonel"
"368","Muskateller"
"369","Narince"
"370","Nascetta"
"371","Nasco"
"372","Nebbiolo"
"373","Negrette"
"374","Negroamaro"
"375","Nerello Cappuccio"
"376","Nerello Mascalese"
"377","Nero d'Avola"
"378","Nero di Troia"
"379","Neuburger"
"380","Nielluciu"
"381","Norton"
"382","Nosiola"
"383","Nuragus"
"384","Ojaleshi"
"385","Okuzgozu"
"386","Ondenc"
"387","Orange Muscat"
"388","Orangetraube"
"389","Otskhanuri Sapere"
"390","Pallagrello"
"391","Pallagrello Bianco"
"392","Pallagrello Nero"
"393","Palomino"
"394","Pansa Blanca"
"395","Papaskarasi"
"396","Paralleda"
"397","Parraleta"
"398","Passerina"
"399","Pecorino"
"400","Pedro Ximenez"
"401","Perricone"
"402","Petit Courbu"
"403","Petit Manseng"
"404","Petit Meslier"
"405","Petit Verdot"
"406","Petite Sirah"
"407","Petite Verdot"
"408","Picapoll"
"409","Picolit"
"410","Picpoul"
"411","Piedirosso"
"412","Pigato"
"413","Pignoletto"
"414","Pignolo"
"415","Pinot Auxerrois"
"416","Pinot Bianco"
"417","Pinot Blanc"
"418","Pinot Blanc Chardonnay"
"419","Pinot Blanc Pinot Noir"
"420","Pinot Blanc Viognier"
"421","Pinot Chardonnay"
"422","Pinot Grigio"
"423","Pinot Grigio Sauvignon Blanc"
"424","Pinot Gris"
"425","Pinot Gris Gewurztraminer"
"426","Pinot Meunier"
"427","Pinot Nero"
"428","Pinot Noir"
"429","Pinot Noir Gamay"
"430","Pinot Noir Syrah"
"431","Pinotage"
"432","Pinotage Merlot"
"433","Piquepoul Blanc"
"434","Plavac Mali"
"435","Plyto"
"436","Portuguese Red"
"437","Portuguese Rose"
"438","Portuguese Sparkling"
"439","Portuguese White"
"440","Portuguiser"
"441","Posip"
"442","Poulsard"
"443","Premsal"
"444","Prie Blanc"
"445","Prieto Picudo"
"446","Primitivo"
"447","Provence red blend"
"448","Provence white blend"
"449","Prugnolo Gentile"
"450","Prunelard"
"451","Pugnitello"
"452","Rabigato"
"453","Raboso"
"454","Ramisco"
"455","Rara Neagra"
"456","Rebula"
"457","Red Blend"
"458","Refosco"
"459","Rhone style Red Blend"
"460","Rhone style White Blend"
"461","Ribolla Gialla"
"462","Rieslaner"
"463","Riesling"
"464","Riesling Chardonnay"
"465","Rivaner"
"466","Rkatsiteli"
"467","Robola"
"468","Roditis"
"469","Roditis Moschofilero"
"470","Rolle"
"471","Romorantin"
"472","Rosado"
"473","Rosato"
"474","Roscetto"
"475","Rosenmuskateller"
"476","Roter Traminer"
"477","Roter Veltliner"
"478","Rotgipfler"
"479","Roussanne"
"480","Roussanne Grenache Blanc"
"481","Roussanne Marsanne"
"482","Roussanne Viognier"
"483","Roviello"
"484","Ruche"
"485","Rufete"
"486","Ryzlink Rynsky"
"487","Sagrantino"
"488","Samling"
"489","Sangiovese"
"490","Sangiovese Cabernet"
"491","Sangiovese Cabernet Sauvignon"
"492","Sangiovese Grosso"
"493","Sangiovese Syrah"
"494","Saperavi"
"495","Saperavi Merlot"
"496","Sauvignon"
"497","Sauvignon Blanc"
"498","Sauvignon Blanc Assyrtiko"
"499","Sauvignon Blanc Chardonnay"
"500","Sauvignon Blanc Chenin Blanc"
"501","Sauvignon Blanc Sauvignon Gris"
"502","Sauvignon Blanc Semillon"
"503","Sauvignon Blanc Verdejo"
"504","Sauvignon Gris"
"505","Sauvignon Musque"
"506","Sauvignon Semillon"
"507","Sauvignonasse"
"508","Savagnin"
"509","Savatiano"
"510","Scheurebe"
"511","Schiava"
"512","Schwartzriesling"
"513","Sciaccerellu"
"514","Semillon"
"515","Semillon Chardonnay"
"516","Semillon Sauvignon Blanc"
"517","Sercial"
"518","Seyval Blanc"
"519","Sherry"
"520","Shiraz"
"521","Shiraz Cabernet"
"522","Shiraz Cabernet Sauvignon"
"523","Shiraz Grenache"
"524","Shiraz Malbec"
"525","Shiraz Mourvedre"
"526","Shiraz Roussanne"
"527","Shiraz Tempranillo"
"528","Shiraz Viognier"
"529","Sideritis"
"530","Siegerrebe"
"531","Silvaner"
"532","Silvaner Traminer"
"533","Siria"
"534","Sirica"
"535","Sousao"
"536","Souzao"
"537","Sparkling Blend"
"538","Spatburgunder"
"539","St. Laurent"
"540","St. Vincent"
"541","Susumaniello"
"542","Sylvaner"
"543","Symphony"
"544","Syrah"
"545","Syrah Bonarda"
"546","Syrah Cabernet"
"547","Syrah Cabernet Franc"
"548","Syrah Cabernet Sauvignon"
"549","Syrah Carignan"
"550","Syrah Grenache"
"551","Syrah Grenache Viognier"
"552","Syrah Malbec"
"553","Syrah Merlot"
"554","Syrah Mourvedre"
"555","Syrah Petit Verdot"
"556","Syrah Petite Sirah"
"557","Syrah Tempranillo"
"558","Syrah Viognier"
"559","Tamaioasa Romaneasca"
"560","Tamianka"
"561","Tamjanika"
"562","Tannat"
"563","Tannat Cabernet"
"564","Tannat Cabernet Franc"
"565","Tannat Merlot"
"566","Tannat Syrah"
"567","Tempranillo"
"568","Tempranillo Blanco"
"569","Tempranillo Blend"
"570","Tempranillo Cabernet Sauvignon"
"571","Tempranillo Garnacha"
"572","Tempranillo Malbec"
"573","Tempranillo Merlot"
"574","Tempranillo Shiraz"
"575","Tempranillo Syrah"
"576","Tempranillo Tannat"
"577","Teran"
"578","Teroldego"
"579","Terrantez"
"580","Thrapsathiri"
"581","Timorasso"
"582","Tinta Amarela"
"583","Tinta Barroca"
"584","Tinta Cao"
"585","Tinta de Toro"
"586","Tinta del Pais"
"587","Tinta del Toro"
"588","Tinta Fina"
"589","Tinta Francisca"
"590","Tinta Madeira"
"591","Tinta Miuda"
"592","Tinta Negra Mole"
"593","Tinta Roriz"
"594","Tintilia"
"595","Tinto del Pais"
"596","Tinto Fino"
"597","Tinto Velasco"
"598","Tocai"
"599","Tocai Friulano"
"600","Tokay"
"601","Tokay Pinot Gris"
"602","Torbato"
"603","Torontel"
"604","Torrontes"
"605","Touriga"
"606","Touriga Franca"
"607","Touriga Nacional"
"608","Touriga Nacional Blend"
"609","Touriga Nacional Cabernet Sauvignon"
"610","Trajadura"
"611","Traminer"
"612","Traminette"
"613","Trebbiano"
"614","Trebbiano di Lugana"
"615","Trebbiano Spoletino"
"616","Treixadura"
"617","Trepat"
"618","Trincadeira"
"619","Trollinger"
"620","Trousseau"
"621","Trousseau Gris"
"622","Tsapournakos"
"623","Tsolikouri"
"624","Turbiana"
"625","Ugni Blanc"
"626","Ugni Blanc Colombard"
"627","Uva di Troia"
"628","Uvalino"
"629","Valdiguie"
"630","Valvin Muscat"
"631","Veltliner"
"632","Verdeca"
"633","Verdejo"
"634","Verdejo Sauvignon Blanc"
"635","Verdejo Viura"
"636","Verdelho"
"637","Verdicchio"
"638","Verdil"
"639","Verdosilla"
"640","Verduzzo"
"641","Verduzzo Friulano"
"642","Vermentino"
"643","Vermentino Nero"
"644","Vernaccia"
"645","Vespaiolo"
"646","Vespolina"
"647","Vidadillo"
"648","Vidal Blanc"
"649","Vignoles"
"650","Vilana"
"651","Vinhao"
"652","Viognier"
"653","Viognier Chardonnay"
"654","Viognier Gewurztraminer"
"655","Viognier Grenache Blanc"
"656","Viognier Marsanne"
"657","Viognier Roussanne"
"658","Viognier Valdiguie"
"659","Viosinho"
"660","Vitovska"
"661","Viura"
"662","Viura Chardonnay"
"663","Viura Verdejo"
"664","Vranac"
"665","Vranec"
"666","Weissburgunder"
"667","Welschriesling"
"668","White Blend"
"669","White Port"
"670","White Riesling"
"671","Xarel lo"
"672","Xinisteri"
"673","Xinomavro"
"674","Xynisteri"
"675","Yapincak"
"676","Zelen"
"677","Zibibbo"
"678","Zierfandler"
"679","Zierfandler Rotgipfler"
"680","Zilavka"
"681","Zinfandel"
"682","Zlahtina"
"683","Zweigelt"
