"price_raw","confidence","type_new","price_new","cluster","table","row","column","entry_id","name_id","text.true","truth_entered_by","col.header","text","text_raw","name","id","file_id","country","year","color","variety","region","province","designation"
"99.50",96.2727584838867,TRUE,"99.50",1,1,14,1,"0008_1_14","0008_1_14","99.50","David","Case","CHATEAU LATOUR { Pauillac Y oi eee ee ee cle el we celle eles Se ese UeiCe elie Ce le ie el Ceili Le Ve Le","CHATEAU LATOUR { Pauillac Y oi eee ee ee cle el we celle eles Se ese UeiCe elie Ce le. ie el Ceili Le Ve Le","CHATEAU LATOUR { Pauillac Y oi eee ee ee cle el we celle eles Se ese UeiCe elie Ce le. ie el Ceili Le Ve Le","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","Pauillac","NULL","NULL"
"99,50",72.3412933349609,TRUE,"99.50",1,1,15,1,"0008_1_15","0008_1_15","99.50","David","Case","CHATEAU HAUT BRION","CHATEAU HAUT BRION (Graves) .... ......:cohsveidinivasnonnss in: 049","CHATEAU HAUT BRION (Graves)","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","list(region = ""Graves"")","NULL","NULL"
"109.00",96.1749877929688,TRUE,"109.00",1,1,16,1,"0008_1_16","0008_1_16","109.00","David","Case","CHATEAU AUSONE","CHATEAU AUSONE (St. Emilion) .. ONS ee ee ee ee eT SE LL ey eT Te Eee Eee","CHATEAU AUSONE (St. Emilion)","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","list(region = ""Saint Emilion"")","NULL","NULL"
"109.00",96.0889739990234,TRUE,"109.00",1,1,17,1,"0008_1_17","0008_1_17","109.00","David","Case","CHATEAU CHEVAL BLANC","CHATEAU CHEVAL BLANC (St. Emilion) .........cuveecionanmssvence ADB","CHATEAU CHEVAL BLANC (St. Emilion)","NULL","UCD_Lehmann_0008","France","NULL","white","NULL","list(region = ""Saint Emilion"")","NULL","NULL"
"118.00",96.2105102539062,TRUE,"118.00",1,1,18,1,"0008_1_18","0008_1_18","118.00","David","Case","CHATEAU MOUTON ROTHSCHILD wee ae sala Ter te le ele a en Ee ieee ee ee","75 CHATEAU MOUTON ROTHSCHILD {(Pauillac) wee ae sala Ter te le ele a en Ee ieee ee ee","CHATEAU MOUTON ROTHSCHILD {(Pauillac) wee ae sala Ter te le ele a en Ee ieee ee ee","75","UCD_Lehmann_0008","France","NULL","NULL","NULL","list(region = ""Pauillac"")","NULL","NULL"
"122.00",96.1091156005859,TRUE,"122.00",1,1,19,1,"0008_1_19","0008_1_19","122.00","David","Case","CHATEAU LAFITE ROTHSCHILD","4 CHATEAU LAFITE ROTHSCHILD ...scccsvene. os AS59","CHATEAU LAFITE ROTHSCHILD","4","UCD_Lehmann_0008","France","NULL","NULL","NULL","NULL","NULL","NULL"
"35.75",94.0879135131836,TRUE,"35.75",2,2,1,1,"0008_2_20","0008_2_1","35.75","David","Case","No Case No CHATEAU LEOVILLE LASCASES","No. Case No. CHATEAU LEOVILLE LASCASES (St. Julien) ................. = A21 29.75 B21 CZ ann vrs ervey TA ATI AIS TY IR dle Ni rawrz Yam il nied YY et Ce Ra eA i AE","No. Case No. CHATEAU LEOVILLE LASCASES (St. Julien)","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","list(region = ""Saint Julien"")","NULL","NULL"
"38.70",16.6095809936523,TRUE,"38.70",2,2,2,1,"0008_2_21","0008_2_2","35.75","David","Case","CHATEAU LYNCH BAGES","CHATEAU LYNCH BAGES (Paulllaec) ..... ...... 0 00... on AZD 39:72 .","CHATEAU LYNCH BAGES (Paulllaec)","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","NULL","NULL","NULL"
"36.50",83.0321044921875,TRUE,"36.50",2,2,3,1,"0008_2_22","0008_2_3","36.50","David","Case","CHATEAU PICHON LONGUEVILLE LALANDE","CHATEAU PICHON LONGUEVILLE LALANDE (Paunillne) .......... .... . A320 B29","CHATEAU PICHON LONGUEVILLE LALANDE (Paunillne)","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","NULL","NULL","NULL"
"37.75",89.8681182861328,TRUE,"37.75",2,2,4,1,"0008_2_23","0008_2_4","37.75","David","Case","CHATEAU BEYCHEVELLE 18t Jullien)","CHATEAU BEYCHEVELLE 18t, Jullien). .... ... cei. 0. 0 7 Aon B27","CHATEAU BEYCHEVELLE 18t, Jullien)","NULL","UCD_Lehmann_0008","France","NULL","NULL","NULL","NULL","NULL","NULL"
