mark_id,user_id,page_id,xy,type,wine_type,color,country,name,section,anonymous,vintage,bottle_type,perprice,caseprice,created,updated
606f837d-0ae5-4f2c-8fe6-a4fdd6341e1e,,74eb493c-1654-444f-9e51-c71baae5a247,"{629,795}",wine,Still,White,France,"BEAUNE, CLOS DES MOUCHES",The Great White Burgandies of the Blessed 1966 vintage,,1964,Standard,6.19,66.69,2017-06-14 21:18:14,2017-06-14 21:18:14
5a94e1a8-3485-4882-be67-e039f29424b7,,74eb493c-1654-444f-9e51-c71baae5a247,"{626,1036}",wine,Still,White,France,"CHASSAGNE MONTRACHET, Ruchottes",The Great White Burgandies of the Blessed 1966 vintage,,1964,Standard,4.99,53.9,2017-06-14 21:18:14,2017-06-14 21:18:14
3942c381-1be1-48f1-8501-8e1a99e432db,,74eb493c-1654-444f-9e51-c71baae5a247,"{635,199}",wine,Still,White,France,MUSIGNY BLANC,The Great White Burgandies of the Blessed 1966 vintage,,1964,Standard,18.25,197.1,2017-06-14 21:18:14,2017-06-14 21:18:14
0f63ff17-0050-4563-bcaf-5c9e03bed918,,74eb493c-1654-444f-9e51-c71baae5a247,"{634,337}",wine,Still,White,France,LE MONTRACHET,The Great White Burgandies of the Blessed 1966 vintage,,1964,Standard,15.05,162.5,2017-06-14 21:18:14,2017-06-14 21:18:14
69b7f1a3-710d-417c-ba89-a14d4073d367,,74eb493c-1654-444f-9e51-c71baae5a247,"{633,441}",wine,Still,White,France,LE MONTRACHET,The Great White Burgandies of the Blessed 1966 vintage,,1964,Standard,9.95,107.45,2017-06-14 21:18:14,2017-06-14 21:18:14
223a7a11-0215-4603-9724-cb7bb4b2b108,,74eb493c-1654-444f-9e51-c71baae5a247,"{634,596}",wine,Still,White,France,CHEVALIER MONTRACHET,The Great White Burgandies of the Blessed 1966 vintage,,1964,Standard,8.95,96.65,2017-06-14 21:18:14,2017-06-14 21:18:14
a521755e-f9d6-4612-97d2-0c6ca826fe12,,74eb493c-1654-444f-9e51-c71baae5a247,"{633,927}",wine,Still,White,France,CORTON CHARLEMAGNE,The Great White Burgandies of the Blessed 1966 vintage,,1964,Standard,5.49,59.3,2017-06-14 21:18:14,2017-06-14 21:18:14
f62d01eb-3c3b-43c0-9e4f-5837c3c54c48,,74eb493c-1654-444f-9e51-c71baae5a247,"{107,295}",wine,Still,White,France,CHABLIS BOUGROS,The Great White Burgandies of the Blessed 1966 vintage,,1964,Standard,3.99,43.1,2017-06-14 21:18:14,2017-06-14 21:18:14
f578d927-1d22-4a09-8681-a79a4315a253,,74eb493c-1654-444f-9e51-c71baae5a247,"{107,413}",wine,Still,White,France,CHABLIS EPINOTTE,The Great White Burgandies of the Blessed 1966 vintage,,1964,Standard,3.49,37.7,2017-06-14 21:18:14,2017-06-14 21:18:14
81e1d98a-6e64-4f43-b7e7-31a99e000174,,74eb493c-1654-444f-9e51-c71baae5a247,"{107,564}",wine,Still,White,France,CHASSAGNE-MONTRACHET,The Great White Burgandies of the Blessed 1966 vintage,,1964,Standard,3.49,37.7,2017-06-14 21:18:14,2017-06-14 21:18:14
9c546aba-37fb-4619-a599-4de69ad877a5,,74eb493c-1654-444f-9e51-c71baae5a247,"{106,699}",wine,Still,White,France,POUILLY-FUISSE,The Great White Burgandies of the Blessed 1966 vintage,,1964,Standard,2.85,32.49,2017-06-14 21:18:14,2017-06-14 21:18:14
95e5539c-acc7-48b9-8f2c-36903ca9ab55,,74eb493c-1654-444f-9e51-c71baae5a247,"{105,918}",wine,Still,White,France,MACON VIRE,The Great White Burgandies of the Blessed 1966 vintage,,1964,Standard,2.19,23.65,2017-06-14 21:18:14,2017-06-14 21:18:14
fc3df43c-c201-481a-a980-08f4534e3e45,,74eb493c-1654-444f-9e51-c71baae5a247,"{97,1044}",wine,Still,White,France,PINOT CHARDONNAY,The Great White Burgandies of the Blessed 1966 vintage,,1964,Standard,1.59,17.15,2017-06-14 21:18:14,2017-06-14 21:18:14
294a2203-e72b-4e74-b5c5-e32dacbf2475,,9c43daa5-6a9d-49c4-aad4-e6d7961a9166,"{629,392}",wine,Still,,Italy,"VALPOLICELLA, Bertani",Wines of Italy,,,Standard,2.57,27.76,2017-06-14 21:18:14,2017-06-14 21:18:14
2b7d2472-64f4-4da2-bf91-095e6352470f,,9c43daa5-6a9d-49c4-aad4-e6d7961a9166,"{628,483}",wine,Still,,Italy,"ORVIETO DRY, Bigi (White)",Wines of Italy,,,Standard,1.75,18.9,2017-06-14 21:18:14,2017-06-14 21:18:14
291b1b70-6340-4cca-9e29-36ba822e15fd,,debed28b-d280-4b7a-897b-4062f26e51f7,"{620,876}",wine,Still,Red,France,"CHATEAU PICHON LONGUEVILLE

LALANDE (Pauillac)",Red Bordeaux,,1964,Standard,4.59,49.55,2017-06-14 21:18:14,2017-06-14 21:18:14
